,original_title,Director,Combined,overview
3820,Vishwas,Keval P. Kashyap,"Jeetendra,Aparna Sen,Bharat Bhushan,Keval P. Kashyap,Comedy,Drama,Romance,Vishwas",Neena lives a poor lifestyle along with her parents. Her marriage is arranged with a wealthy male  but the marriage could not take place as her parents are unable to provide enough dowry. ...                    
3821,Waris,Ramanna,"Jeetendra,Hema Malini,Prem Chopra,Ramanna,Comedy,Drama,Family,Waris",Due to disagreements in the King's household  his wife and son decide to move away from his kingdom. Years later  the King passes away and the palace decides to locate the Prince  so that ...                    
3823,Do Kaliyaan, ,"Mala Sinha,Biswajit Chatterjee,Mehmood, ,Drama,Family,Musical,Do Kaliyaan",Proud  wealthy  and haughty Kiran meets with down-to-earth middle-class fellow collegian  Shekhar  and after several clashes and misunderstandings  both fall in love and decide to get ...                    
3824,Ankhen,Ramanand Sagar,"Mala Sinha,Dharmendra,Kumkum,Ramanand Sagar,Action,Adventure,Drama,Ankhen",Shortly after independence India faces terrorists attacks in Assam  resulting in many deaths and casualties. A group of concerned citizens  who are not connected with the Government  decide...                    
3828,Saat Hindustani,Khwaja Ahmad Abbas,"Utpal Dutt,Jalal Agha,Anwar Ali,Khwaja Ahmad Abbas,Action,Adventure,Drama,Saat Hindustani",A woman awaiting surgery recalls her life as a revolutionary along with seven other countrymen.
3829,Neel Kamal,Ram Maheshwari,"Waheeda Rehman,Raaj Kumar,Manoj Kumar,Ram Maheshwari,Drama,Fantasy,Musical,Neel Kamal",Sleepwalker Sita Raichand (Waheeda Rehman) is rescued by Ram (Manoj Kumar) while walking on a railway track. Shortly thereafter Guruji (David) and Mr. Raichand (Balraj Sahni)  approach ...                    
3830,Shikar,Atma Ram,"Asha Parekh,Dharmendra,Sanjeev Kumar,Atma Ram,Mystery,Thriller,Shikar",Manager Ajay Singh find out that a man by the name of Naresh is murdered and inform police inspector Rai  but all evidences are tampered with at the crime scene and as a result the murderer...                    
3831,Padosan,Jyoti Swaroop,"Sunil Dutt,Saira Banu,Mehmood,Jyoti Swaroop,Comedy,Musical,Romance,Padosan",A simple man from a village falls in love with his new neighbor. He enlists the help of his musical-theater friends to woo the lovely girl-next-door away from her music teacher.
3832,Kanyadaan,Mohan Segal,"Asha Parekh,Shashi Kapoor,Sayeeda Khan,Mohan Segal,Drama,Romance,Kanyadaan",Two small children  Rekha and Amar  undergo a marriage ceremony under guidance of their respective parents. Years later  Rekha and Amar have grown up  and are now capable of fulfilling ...                    
3833,Brahmachari,Bhappi Sonie,"Shammi Kapoor,Rajshree,Pran,Bhappi Sonie,Comedy,Drama,Family,Brahmachari",Of unknown parentage  as he was abandoned as a child  calling himself Brahmachari (Shammi Kapoor) lives in a heavily mortgaged house  with twelve other young orphans  and a servant/former ...                    
3839,Aabroo,C.L. Rawal,"Ashok Kumar,Vimi,Rehman,C.L. Rawal,Comedy,Crime,Drama,Aabroo",After being betrayed by the woman he loves  a doctor is accused of killing her husband.
3840,Aashirwad,Hrishikesh Mukherjee,"Ashok Kumar,Sanjeev Kumar,Sumita Sanyal,Hrishikesh Mukherjee,Drama,Aashirwad",Shivnath Choudhary lives a wealthy lifestyle in Chandanpur  India  along with his wife  Leela  and 8 year old daughter  Neena. He likes to mingle with poor folk much  especially Baiju  to ...                    
3841,Haseena Maan Jayegi,Prakash Mehra,"Shashi Kapoor,Babita Kapoor,Johnny Walker,Prakash Mehra,Action,Adventure,Drama,Haseena Maan Jayegi",An army officer's wife is unsure if the man she is living with is her husband or his look-alike.
3842,Abhilasha,Amit Bose,"Meena Kumari,Nanda,Sanjay Khan,Amit Bose,Drama,Romance,Abhilasha",A soon-to-be-married army officer faces rejection after he finds he was adopted as a child.
3843,Anokhi Raat,Asit Sen,"Sanjeev Kumar,Zaheeda,Tarun Bose,Asit Sen,Crime,Drama,Mystery,Anokhi Raat",In order to save her grandfather's mansion  Rama agrees to marry a much older male  Madanlal  who decides to sell some artifacts to prospective wealthy buyers  including Mr. and Mrs. Rai. ...                    
3846,Baharon Ki Manzil,Yakub Hasan Rizvi,"Meena Kumari,Dharmendra,Rehman,Yakub Hasan Rizvi,Mystery,Baharon Ki Manzil",Meena Kumari wakes up thinking she is Radha. Everyone around her  Subodh Rai  daughter Nalini  friends  and society believe she is Nanda. 16 years before  the date of the film  SS Fort ...                    
3847,Balram Shri Krishna,Chandrakant,"Dara Singh,Savitri,Jayshree Gadkar,Chandrakant,Fantasy,Balram Shri Krishna",After liberating the people of Mathura from the tyrannical rule of Kans  Krishna turns his attention to wedding Princess Rukmini  at Narad Muni's behest. Meanwhile  the disgruntled kings of...                    
3848,Bambai Raat Ki Bahon Mein,Khwaja Ahmad Abbas,"Surekha,Madhavi,David Abraham,Khwaja Ahmad Abbas,Crime,Drama,Romance,Bambai Raat Ki Bahon Mein",A news reporter becomes a suspect after a robbery and a homicide aboard an aircraft.
3850,Do Dooni Char,Debu Sen,"Kishore Kumar,Asit Kumar Sen,Surekha,Debu Sen,Comedy,Drama,Do Dooni Char",A man and his assistant go on a business trip  which results in a comedy of errors.
3851,Gauri,A. Bhimsingh,"Sunil Dutt,Nutan,Sanjeev Kumar,A. Bhimsingh,Drama,Family,Gauri",Orphaned Sanjeev lives with his comically parsimonious paternal uncle  Maniram  who offers to look after him on the condition that a contested Last Will and Testament  will benefit him. ...                    
3852,Humsaya,Joy Mukherjee,"Mala Sinha,Joy Mukherjee,Sharmila Tagore,Joy Mukherjee,Action,Drama,Mystery,Humsaya",A disgraced Indian air force officer impersonates a look-alike Chinese spy.
3854,Jhuk Gaya Aasman,Lekh Tandon,"Rajendra Kumar,Saira Banu,Rajendra Nath,Lekh Tandon,Comedy,Romance,Jhuk Gaya Aasman",Sanjay lives a poor lifestyle in Darjeeling and makes a living as a Tourist Guide. He meets with Calcutta-based Priya Khanna  and both fall in love. When she receives word that her dad has ...                    
3856,Khilari,Homi Wadia,"Fearless Nadia,Dilip Raj,Uma,Homi Wadia,Action,Sci-Fi,Khilari",Fearless Nadia and her side kicks set out to rescue Bombay from a gang of nefarious drug smugglers and other assorted unsavory characters.
3858,Mere Hamdam Mere Dost,Amar Kumar,"Dharmendra,Sharmila Tagore,Rehman,Amar Kumar,Musical,Romance,Thriller,Mere Hamdam Mere Dost",Sunil lives with his mom and sister in a middle-class dwelling in Delhi  India. He works for Chopra & Co.  Chartered Accountants. He comes across a beautiful woman posing for a painting  ...                    
3859,Mere Huzoor,Vinod Kumar,"Mala Sinha,Raaj Kumar,Jeetendra,Vinod Kumar,Romance,Mere Huzoor",Akhtar Hussain saves the life of Nawab Salim  and earns his gratitude. Salim invites Akhtar to come to his palatial home  and Akhtar does so. On the way  he meets beautiful Saltanat  and ...                    
3860,Raja Aur Runk,Kolli Pratyagatma,"Sanjeev Kumar,Ajit,Mukri,Kolli Pratyagatma,Drama,Family,Musical,Raja Aur Runk","Mark Twain's story ""The Prince and the Pauper"" is transplanted to an Indian setting with all of the essential elements intact."
3862,Sadhu Aur Shaitaan,A. Bhimsingh,"Mehmood,Bharathi,Kishore Kumar,A. Bhimsingh,Comedy,Thriller,Sadhu Aur Shaitaan",Kind-hearted yet naive Bajrang (Mehmood) drives a taxi (laila) and helps anyone he can. He is devoted to another kind-hearted gentleman and long-time bank employee by the name of Sadhuram (...                    
3864,Sunghursh,Harnam Singh Rawail,"Dilip Kumar,Vyjayanthimala,Balraj Sahni,Harnam Singh Rawail,Action,Crime,Drama,Sunghursh",The Prasads live in Banaras circa 19th Century  and consist of Bhawani - a thug  who poses as a holy man  luring devotees and robbing them; his wife - who will have nothing to do with his ...                    
3865,Teen Bahuraniyan, ,"Prithviraj Kapoor,Agha,Dhumal, ,Comedy,Teen Bahuraniyan",A family experiences changes after a movie star moves in next to their house.
3866,Saraswatichandra,Govind Saraiya,"Nutan,Manish,Vijaya Choudhury,Govind Saraiya,Drama,Romance,Saraswatichandra",A man regrets his decision of refusing to marry the woman he loves.
3867,Upkar,Manoj Kumar,"Asha Parekh,Manoj Kumar,Prem Chopra,Manoj Kumar,Drama,Romance,War,Upkar",Cult classic highlighting the contrast between Indian and Western values in the newly independent state.
3871,Suhaag Raat,R. Bhattacharya,"Rajshree,Jeetendra,Sulochana Latkar,R. Bhattacharya,Comedy,Crime,Drama,Suhaag Raat",A woman who gets widowed on her wedding night creates a scandal by becoming pregnant.
3880,Hamraaz,B.R. Chopra,"S.N. Banerjee,Urmila Bhatt,Birbal,B.R. Chopra,Musical,Mystery,Thriller,Hamraaz",A stage actor becomes entangled in a murder mystery after he marries a woman with a secret past.
3881,Mehrban,A. Bhimsingh,"Ashok Kumar,Sulochana Latkar,Sunil Dutt,A. Bhimsingh,Drama,Mehrban",Shanti Swarup is a businessman and lives a wealthy lifestyle with his three sons  Ram  Shyam  and Sunder; his wife  Parvati; widowed sister  Devki; an unmarried daughter  Geeta; and a ...                    
3882,Patthar Ke Sanam,Raja Nawathe,"Waheeda Rehman,Manoj Kumar,Mumtaz,Raja Nawathe,Action,Drama,Musical,Patthar Ke Sanam",Beautiful Meena lives a wealthy lifestyle along with her widowed dad  Thakur  in a small town in India. When her dad hires a new Manager  Rajesh  she and her friend  Taruna  decide to tease...                    
3884,Aman,Mohan Kumar,"Rajendra Kumar,Saira Banu,Balraj Sahni,Mohan Kumar,Adventure,Drama,Family,Aman",Meloda (Saira Banu) who was educated in India  speaks Hindi; though she is Japanese. Dr. Gautamdas (Rajendra Kumar) is a UK trained doctor who volunteers to go to Japan to help deal with ...                    
3885,An Evening in Paris,Shakti Samanta,"Shammi Kapoor,Sharmila Tagore,Sarita,Shakti Samanta,Musical,Romance,Thriller,An Evening in Paris",In romantic Paris  two Parisians of Indian origin are in love namely Shyam or Sam and Roopa. Mystery and intrigue surround this romance  as Roopa is abducted and held by criminal mastermind...                    
3886,Jewel Thief,Vijay Anand,"Ashok Kumar,Dev Anand,Vyjayanthimala,Vijay Anand,Crime,Drama,Musical,Jewel Thief",A Police Commissioner's son comes under suspicion for being a jewel thief.
3890,Anita,Raj Khosla,"Sadhana,Manoj Kumar,I.S. Johar,Raj Khosla,Crime,Musical,Mystery,Anita",After his ex-fiancée's sudden and mysterious suicide  a jilted bridegroom seeks answers. What he finds  makes him question if he ever really knew her. And then he begins to see her face everywhere he goes.
3891,Around the World,Pachhi,"Raj Kapoor,Rajshree,Ameeta,Pachhi,Comedy,Romance,Around the World",Raj Singh is the nephew and heir apparent of multi-millionaire J.J. Singh. J.J. Singh has to travel worldwide for business purposes  and he asks Raj to join him in Tokyo. An employee  Pran ...                    
3892,Aurat, ,"Padmini,Pran,Rajesh Khanna, ,Comedy,Drama,Aurat",A woman responsible for her mother and 7 siblings faces challenges after marrying a widower with 6 children.
3893,Baharon Ke Sapne,Nasir Hussain,"Rajesh Khanna,Asha Parekh,Anwar Hussain,Nasir Hussain,Drama,Romance,Baharon Ke Sapne",In a small industrial town near Bombay lives Bholanath  who works at the local mill  and is the proud husband of Gauri  a daughter  Champa  and above all his son  Ramaiya  who is a graduate...                    
3894,Bahu Begum,M. Sadiq,"Ashok Kumar,Pradeep Kumar,Meena Kumari,M. Sadiq,Comedy,Drama,Romance,Bahu Begum",On the day of her marriage  the bride goes missing. She ends up in a brothel  compelling her wealthy husband to pretend that all is well to keep the family's honor intact.
3895,Bhakta Prahlada,Chitrapu Narayana Rao,"Rojaramani,S.V. Ranga Rao,Anjali Devi,Chitrapu Narayana Rao,Drama,Musical,Bhakta Prahlada",A devotee of Lord Vishnu attempts to share his faith with his skeptical father.
3896,Boond Jo Ban Gayee Moti,Shantaram Rajaram Vankudre,"Jeetendra,Mumtaz,Akashdeep,Shantaram Rajaram Vankudre,Crime,Drama,Romance,Boond Jo Ban Gayee Moti",A once-disgraced school-master gets arrested for killing a lawyer's pregnant daughter.
3897,C.I.D. 909,Mohammed Hussain,"Feroz Khan,Mumtaz,Helen,Mohammed Hussain,Action,Crime,Drama,C.I.D. 909",A wealthy Indian scientist known as Professor has developed a nuclear project to bring about peace in the world. He has encrypted this project in code words known only to him and his ...                    
3898,Chand Par Chadayee,T.R. Sundaram,"Dara Singh,Anwar Hussain,Master Bhagwan,T.R. Sundaram,Adventure,Comedy,Drama,Chand Par Chadayee",After landing on the moon  an astronaut and his associate face off against a variety of warriors and monsters from another planet.
3899,Chandan Ka Palna,Ismail Memon,"Meena Kumari,Dharmendra,Mehmood,Ismail Memon,Drama,Chandan Ka Palna",Ajit lives with his mother  and comes from a very wealthy family. He meets with beautiful Shobha and both fall in love with each other. Ajit's mom is delighted and agrees to meet with ...                    
3900,Chhoti Si Mulaqat,Alo Sarkar,"Vyjayanthimala,Uttam Kumar,Rajendra Nath,Alo Sarkar,Drama,Romance,Chhoti Si Mulaqat",Shanker Choudhury's (Tarun Bose) mother (Pratima Devi)  at the pleas of her dying husband  marries off his (Shanker's) daughter to a youth. Both the children are under-age and do not know ...                    
3901,Aamne - Saamne,Suraj Prakash,"Shashi Kapoor,Sharmila Tagore,Prem Chopra,Suraj Prakash,Crime,Mystery,Romance,Aamne - Saamne",Acquitted for killing his wealthy wife  a male re-locates  changes his name  re-marries another wealthy woman  and then becomes a suspect when attempts are made to kill her also.
3902,Diwana,Mahesh Kaul,"Raj Kapoor,Saira Banu,Lalita Pawar,Mahesh Kaul,Musical,Romance,Diwana",Meet Pyarelal  a simple-minded  naive young man  orphaned at birth  living with a Muslim landlady  Fatima  who treats him like her son. When the police arrest Pyarelal on the charge of ...                    
3903,Dulhan Ek Raat Ki,D.D. Kashyap,"Dharmendra,Nutan,Johnny Walker,D.D. Kashyap,Crime,Drama,Music,Dulhan Ek Raat Ki",Arrogant son of a wealthy  blind woman  rapes his mother's nurse and abandons her. She gets pregnant but the child does not live  and she continues to live her life and follow up on her ...                    
3906,Hare Kanch Ki Chooriyan,Kishore Sahu,"Biswajit Chatterjee,Shiv Kumar,Lalita Pawar,Kishore Sahu,Drama,Family,Romance,Hare Kanch Ki Chooriyan",Mohini Saxena is the only child in the Saxena household  which consists of her Professor dad  Kishanlal  and bed-ridden  ailing mom. She is a medical student  quite free-willed  and ...                    
3910,Nai Roshni,C.V. Sridhar,"Ashok Kumar,Mala Sinha,Raaj Kumar,C.V. Sridhar,Drama,Family,Nai Roshni",Professor Kumar lives a wealthy life with his wife  a son  Jyoti  and two daughters  Rekha and Chitra. His son is addicted to alcohol and stays away from home  often returning late at night...                    
3911,Majhli Didi,Hrishikesh Mukherjee,"Meena Kumari,Dharmendra,Lalita Pawar,Hrishikesh Mukherjee,Drama,Majhli Didi",Bipinchandra breaks family tradition by marrying a city girl  Hemangini  much to the chagrin of his sister-in-law  Kadambini  and her husband  Navinchandra. Things are delicate even after ...                    
